1998/08/23???14:49:27,118.38,35.23,3.6,山东临沂北
1998/08/15???18:11:20,119.25,38.72,4.2,渤海
1998/08/14???13:52:16,116.43,34.97,3.1,山东鱼台西南
1998/08/13???18:21:43,114.4,41.05,4.3,河北张北
1998/07/28???07:30:08,117.6,39.83,3.5,天津宝
1998/07/18???00:31:56,123.5,35.32,3.2,黄海
1998/07/10???15:02:34,121.53,35.65,3.4,黄海
1998/06/25???11:16:36,121.27,33.55,3.7,南黄海
1998/06/08???10:44:56,124.02,38.43,4.4,北黄海
1998/06/06???12:06:19,122.2,40.07,3.5,辽宁盖县
1998/06/02???09:32:02,114.5,41,4.5,河北省张北
1998/05/30???02:01:32,122.67,34,3.1,黄海
1998/05/24???04:02:05,116.17,31.58,3.8,安徽六安
1998/05/09???12:51:32,115.42,35.75,3.2,山东莘县与范县交界
1998/04/29???03:22:02,121,34.83,3.1,南黄海
1998/04/25???21:10:12,113.85,36.67,3.8,河北邢台西南
1998/04/14???10:47:50,118.53,39.75,4.7,河北唐山古冶区
1998/04/09???03:07:43,118.87,38.12,3,渤海
1998/04/02???16:33:50,117.75,37.67,3.8,山东阳信县城东
1998/03/31???23:24:04,120.7,33.63,3.1,南黄海
1998/03/25???16:47:29,115.37,35.73,3.7,河南濮城
1998/02/18???18:33:43,117.33,32.58,3.1,安徽定远
1998/02/14???07:50:35,124.07,38.37,3.1,北黄海
1998/02/11???00:22:14,123.62,37.63,3.8,北黄海
1999/11/09???23:46:45,117.57,36.57,3,山东莱芜与章丘间
1999/11/06???17:29:45,121.53,38.5,4.1,北黄海
1999/11/04???11:46:26,122.58,39.13,4,长山列岛
1999/11/01???21:20:25,113.83,39.83,4.1,山西浑源与阳原间
1999/11/01???21:25:08,113.87,39.87,5,山西浑源与阳原间
1999/10/29???07:49:47,114.18,34.73,3.2,河南中牟北
1999/10/26???21:02:29,117.52,36.47,3.2,山东莱芜西北
1999/10/25???18:29:45,117.33,36.48,3.2,山东章丘西南
1999/10/07???03:34:33,120.37,37.88,3.5,渤海
1999/09/19???14:27:48,121.33,34.07,3.2,黄海
1999/09/19???22:29:28,121,33.9,4.1,黄海
